OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,2004-05-25,9233,Justin Burgess,vnelson@roberts-murray.com,Israel,836,electronics,Headphones,7,307.44,2152.08,South
2,2028-09-24,9816,Joe Williams,igordon@yahoo.com,Angola,760,Sports,Football,10,833.84,8338.4,West
3,2008-01-25,1008,Nicholas Barnes,taylorrobert@gmail.com,United Arab Emirates,677,sports,treadmill,9,105.01,945.09,North
4,2008-10-24,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
4,2008-10-24,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
4,2008-10-24,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
5,2014-08-23,1440,Miguel Johnson,taraward@gmail.com,Estonia,956,Electronics,Laptop,2,693.5,1387,north
6,2023-06-23,5333,Deborah Brooks,carolyndodson@castro.net,Hong Kong,546,Electronics,Smartphone,8,994.65,7957.2,North
7,2007-01-24,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,812,Clothing,Jacket,5,335.78,1678.9,East
8,2012-09-23,5357,Christopher Hill,jacob63@day.com,Japan,802,Clothing,T-Shirt,4,477.07,1908.28,South
9,2026-12-23,1158,Jessica Morrison,charlesgonzalez@li.org,Guernsey,603,Sports,Tennis Racket,5,21.71,108.55,West
10,2002-11-23,2326,Robert Carroll,cindy25@fernandez-medina.com,Portugal,841,Beauty,Nail Polish,3,803.36,2410.08,South
11,2007-07-24,8277,Kim Weaver,lambertrodney@hotmail.com,Mongolia,526,Clothing,socks,7,992.47,6947.29,North
12,2012-11-24,5174,Larry Mack,barnesjennifer@kennedy-porter.org,Croatia,810,Clothing,T-Shirt,3,46.61,139.83,east
13,1930-09-24,5400,Jessica Weber,mejiaalisha@gmail.com,Guinea,839,Furniture,Couch,1,491.89,491.89,West
14,2027-05-24,2020,Melanie Gonzalez,amber03@hotmail.com,Montserrat,798,Furniture,Bed,4,640.97,2563.88,West
15,2023-10-24,1440,Miguel Johnson,taraward@gmail.com,Estonia,697,Clothing,Shoes,7,278.6,1950.2,East
16,2012-02-24,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
16,2012-02-24,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
17,2014-11-23,1792,Patrick Brown,janekelley@hotmail.com,French Southern Territories,823,Furniture,Bed,10,799.32,7993.2,North
18,2028-10-24,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,621,Clothing,T-Shirt,7,866.25,6063.75,East
19,2021-06-24,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,626,Clothing,Shoes,10,133.98,1339.8,South
20,2011-08-23,1497,Sarah Nielsen,omcdonald@scott.com,Kiribati,526,Clothing,Jacket,4,903.25,3613,East
21,2022-03-24,2610,Krista Sampson,bonnie76@michael.info,Jamaica,892,Furniture,Couch,3,648.57,1945.71,West
22,2012-12-24,4809,Justin Montgomery,jack80@clark-pratt.com,Djibouti,939,Electronics,Headphones,10,542.34,5423.4,West
23,2008-02-25,9387,Benjamin Hardy,richardgraves@gmail.com,Mexico,763,Clothing,T-Shirt,6,433.91,2603.46,West
24,2004-08-24,4073,Joshua Howard,ernestpoole@williams.com,Colombia,671,Clothing,T-Shirt,8,684.93,5479.44,South
25,2002-12-23,2377,Heather Smith,kingeric@whitney.net,Burkina Faso,513,Clothing,Shoes,4,882.43,3529.72,South
26,2016-01-24,3411,Ashley Lang,kimberly70@best.info,Belgium,882,Furniture,Couch,8,75.11,600.88,West
27,2021-04-24,7107,Randall Robinson,ucarter@sanders-mccarthy.com,Senegal,513,Furniture,Chair,1,43.52,43.52,East
28,2012-05-25,2486,Scott Greene,wconrad@hotmail.com,United States of America,867,Electronics,Laptop,8,324.51,2596.08,West
30,2018-06-24,5514,Jeremiah Fowler,kirstensmith@gmail.com,Congo,950,Clothing,Jacket,3,27.85,83.55,West
31,2017-06-24,3976,Leslie Torres,hrocha@gmail.com,Niger,719,Electronics,Headphones,3,442.59,1327.77,East
32,2029-03-24,8379,David Kelley,bthomas@rios-lawson.com,Guinea,582,Sports,Basketball,9,389.6,3506.4,East
34,2024-05-24,6093,Ashley Russo,johnsmith@hotmail.com,Liberia,698,Sports,Bicycle,4,238.87,955.48,North
35,2018-12-24,2746,Jesse Krause,cookkimberly@yahoo.com,Lesotho,704,Beauty,Perfume,6,757.67,4546.02,North
36,2029-03-24,1440,Miguel Johnson,taraward@gmail.com,Estonia,652,Electronics,Monitor,8,337.62,2700.96,East
37,2014-06-24,3258,Reginald Middleton,wfletcher@gmail.com,South Georgia and the South Sandwich Islands,810,Clothing,Socks,10,823.13,8231.3,West
38,2013-10-23,5909,Sharon Ramos,muellerduane@yahoo.com,Angola,626,Clothing,T-Shirt,4,258.76,1035.04,South
39,2004-09-24,7143,Timothy French,allenglass@rodriguez.com,Ireland,532,Beauty,Lotion,3,285.78,857.34,West
40,2015-01-25,7242,Benjamin Peterson,patrickchad@gmail.com,Niger,852,Clothing,Jeans,7,780.94,5466.58,West
41,2003-09-23,8277,Kim Weaver,lambertrodney@hotmail.com,Mongolia,853,Clothing,Jeans,5,983.68,4918.4,North
42,2022-10-24,9387,Benjamin Hardy,richardgraves@gmail.com,Mexico,989,Electronics,Laptop,3,536.77,1610.31,South
43,2007-03-25,4664,Eric Olson,barreraashley@white-stone.org,Belize,576,Furniture,Chair,4,680.06,2720.24,East
44,2022-10-24,3229,Victor Vazquez,michaelscott@robertson-wilkins.biz,Australia,696,Clothing,Shoes,1,773.37,773.37,South
45,1930-08-23,4717,Emily Phillips,laura35@yahoo.com,Armenia,733,Electronics,Camera,5,218.4,1092,South
46,2024-10-23,9090,Michael Myers,jodisandoval@yahoo.com,Vanuatu,970,Beauty,Perfume,1,490.07,490.07,East
47,2004-01-24,9991,Tyler Chapman,jasonsmith@yahoo.com,Afghanistan,986,Electronics,Monitor,10,293.3,2933,North
48,2006-04-24,8341,Nathaniel Johns,francisco29@ward.info,Macedonia,891,Sports,Treadmill,3,691.06,2073.18,West
49,2012-02-25,7890,Whitney Stewart,jonathan28@meadows.com,Barbados,589,Furniture,Bed,6,756.67,4540.02,North
50,2004-09-23,6891,Mark West,patricia36@steele.com,Japan,985,Electronics,Monitor,5,345.32,1726.6,West
51,2022-12-23,3732,Karen Young,lzuniga@hotmail.com,Saint Barthelemy,526,Beauty,Makeup,1,464.35,464.35,West
52,2012-11-24,8588,Ellen Horton,ybaker@robinson-murphy.com,Mauritania,988,Beauty,Makeup,2,575.61,1151.22,South
54,2019-03-24,2482,Antonio Davis,dana59@villegas-moore.com,Botswana,942,Beauty,Makeup,3,721.04,2163.12,South
56,2002-08-23,5048,Frank Chandler,tammyhoover@bender-ferguson.biz,Mayotte,655,Clothing,Socks,9,651.9,5867.1,West
57,1930-05-25,2132,Alicia Cannon,qbrown@decker.org,Pitcairn Islands,562,Beauty,Nail Polish,1,334.55,334.55,South
58,1931-07-23,9887,Arthur Cortez,denise15@yahoo.com,French Polynesia,607,Electronics,Monitor,3,640.71,1922.13,North
59,2019-03-24,7242,Benjamin Peterson,patrickchad@gmail.com,Niger,611,Clothing,Jacket,7,76.7,536.9,South
60,2019-05-24,8859,Tammy Zhang,rodriguezdalton@hotmail.com,Guam,934,Clothing,Shoes,7,812.35,5686.45,North
61,2023-11-24,9895,Matthew Stark,brianguerra@blankenship.com,Libyan Arab Jamahiriya,596,Beauty,Makeup,6,345.78,2074.68,West
62,2010-12-24,9001,Diane Lawrence,qcook@stewart.biz,Turks and Caicos Islands,788,Clothing,Jacket,1,730.58,730.58,East
63,2013-07-24,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,501,Clothing,Shoes,7,827.42,5791.94,East
64,2007-03-25,1008,Nicholas Barnes,taylorrobert@gmail.com,United Arab Emirates,608,Clothing,Jeans,10,253.73,2537.3,North
65,2004-07-24,4717,Emily Phillips,laura35@yahoo.com,Armenia,945,Electronics,Smartphone,8,902.94,7223.52,South
66,2019-07-24,4902,Kenneth Meyer,ryancurry@anderson-garcia.biz,Ireland,895,Sports,Treadmill,2,844.73,1689.46,West
67,2008-05-25,3640,Pamela Allen,djones@yahoo.com,Iceland,598,Beauty,Nail Polish,10,352.35,3523.5,South
68,2008-05-24,4475,Andrea Turner,sellersamanda@burke-rangel.info,Saudi Arabia,543,Beauty,Lotion,2,823.44,1646.88,North
69,2019-09-24,8443,Joseph Wise,nwhite@davis-foster.com,Jersey,601,Clothing,Jacket,10,310.76,3107.6,West
70,2020-10-24,5174,Larry Mack,barnesjennifer@kennedy-porter.org,Croatia,684,Electronics,Headphones,6,911.07,5466.42,East
71,2008-08-23,3226,Ryan Finley,cwhite@smith.com,Luxembourg,744,Sports,Bicycle,4,924.11,3696.44,North
72,2007-03-25,6883,Tamara Perez,jacksonjames@gmail.com,Nigeria,632,Clothing,T-Shirt,3,207.15,621.45,South
73,1930-01-24,3411,Ashley Lang,kimberly70@best.info,Belgium,704,Beauty,Lotion,10,692.29,6922.9,West
74,2004-05-24,3335,Justin Ellis,amybentley@keith.biz,Estonia,862,Sports,Tennis Racket,6,601.56,3609.36,South
75,2013-11-24,5092,Kevin Morse PhD,xoliver@tanner.com,Palau,808,Furniture,Desk,2,796.44,1592.88,North
76,2020-03-25,9001,Diane Lawrence,qcook@stewart.biz,Turks and Caicos Islands,746,Clothing,Jeans,7,892.03,6244.21,North
77,2008-03-24,4804,Jenna Robinson,tolson@brown.com,Venezuela,546,Beauty,Nail Polish,5,976.12,4880.6,North
78,2019-05-24,3553,Lindsay Taylor,dherrera@martinez.com,Jamaica,947,Furniture,Chair,10,992.81,9928.1,South
79,2014-01-24,3607,Jonathan Wood,brownkimberly@hotmail.com,Djibouti,644,Clothing,T-Shirt,6,736.72,4420.32,West
80,2010-04-24,9107,Jason Miller,catherineperry@contreras.com,Palau,616,Electronics,Smartphone,8,397.09,3176.72,East
81,2006-10-24,5061,Dennis Carey,bailey62@yahoo.com,Norfolk Island,958,Clothing,Jacket,1,829.97,829.97,East
82,2015-09-24,5043,Cheryl Young,jmoreno@morales.info,Belgium,688,Sports,Treadmill,2,952.37,1904.74,North
83,2005-12-24,1420,Hayley Fox,danaryan@jimenez.com,Faroe Islands,638,Clothing,T-Shirt,9,918.74,8268.66,East
84,2014-03-25,9583,David Farley,mirandapeterson@fisher.info,Afghanistan,906,Furniture,Table,8,360.15,2881.2,West
85,2017-08-24,3553,Lindsay Taylor,dherrera@martinez.com,Jamaica,894,Sports,Treadmill,7,851.76,5962.32,West
86,2008-05-24,1497,Sarah Nielsen,omcdonald@scott.com,Kiribati,955,Sports,Bicycle,4,94.98,379.92,South
87,2023-08-24,6031,Stephanie Lewis,ronaldcannon@gmail.com,Korea,841,Clothing,Shoes,6,771.31,4627.86,North
88,2001-06-25,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,901,Electronics,Monitor,10,823.49,8234.9,East
89,2015-01-25,9326,Cynthia Monroe,adammyers@marsh.com,Nauru,981,Sports,Bicycle,9,721.52,6493.68,West
90,2022-11-24,4148,Gary Torres,greyes@johnson-donovan.com,Malawi,980,Electronics,Laptop,9,772.78,6955.02,West
91,2027-09-23,8604,Timothy Henson,sarah52@reed.org,Mayotte,795,Clothing,Jeans,10,104.87,1048.7,West
92,2024-04-24,4763,Christopher James,beverlyrodriguez@lawson.com,Tunisia,526,Sports,Basketball,10,250.24,2502.4,North
93,2018-02-24,2377,Heather Smith,kingeric@whitney.net,Burkina Faso,631,Furniture,Table,7,616.45,4315.15,East
94,2006-10-23,5808,Susan Powers,everettstephen@smith.com,Iceland,959,Beauty,Nail Polish,5,69.69,348.45,West
95,2012-05-24,8942,Dean Russell,robert06@hines.com,Belarus,805,Clothing,Shoes,3,747.4,2242.2,West
96,2024-05-24,8491,Jane Perkins,gmiller@yahoo.com,Saint Martin,752,Furniture,Chair,1,200.94,200.94,North
97,2001-06-25,5357,Christopher Hill,jacob63@day.com,Japan,528,Clothing,Shoes,9,826.7,7440.3,West
98,2024-10-23,7625,Toni Hernandez,scotttracy@gmail.com,Trinidad and Tobago,995,Sports,Bicycle,10,636.71,6367.1,South
99,1930-01-25,2734,Erica Brown,webermolly@gilmore-andrews.net,Libyan Arab Jamahiriya,995,Beauty,Makeup,3,793.78,2381.34,North
100,2029-11-23,7351,Joshua Rojas,joneserica@smith-guzman.com,Lebanon,613,Electronics,Headphones,1,810.39,810.39,North
101,2009-05-25,2746,Jesse Krause,cookkimberly@yahoo.com,Lesotho,963,Furniture,Bed,4,922.93,3691.72,West
102,2023-05-25,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,708,Furniture,Desk,1,809.85,809.85,East
103,2025-02-25,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,815,Electronics,Laptop,1,731.11,731.11,East
104,2006-04-25,8305,Wayne Stokes,brendaclark@castillo-delgado.com,Mali,807,Furniture,Bed,9,918.82,8269.38,West
105,2024-09-23,8433,Jacob Norris,mariachang@nguyen.com,South Georgia and the South Sandwich Islands,830,Beauty,Nail Polish,9,774.86,6973.74,North
106,2016-04-25,3226,Ryan Finley,cwhite@smith.com,Luxembourg,837,Clothing,Jeans,5,145.85,729.25,South
107,1931-10-23,2734,Erica Brown,webermolly@gilmore-andrews.net,Libyan Arab Jamahiriya,823,Electronics,Monitor,9,714.17,6427.53,North
108,2002-04-24,1351,Jeffrey Anderson,wallkevin@hotmail.com,French Southern Territories,572,Clothing,Jacket,9,883.37,7950.33,West
109,2013-02-24,9326,Cynthia Monroe,adammyers@marsh.com,Nauru,913,Sports,Bicycle,2,913.53,1827.06,South
110,2023-11-23,7494,Christopher Leon,margaretburnett@rivera.com,New Zealand,800,Sports,Tennis Racket,3,214.44,643.32,North
111,2019-07-24,8588,Ellen Horton,ybaker@robinson-murphy.com,Mauritania,792,Electronics,Headphones,3,977.41,2932.23,South
112,2012-05-25,1712,Karen Williams MD,david62@gmail.com,Netherlands Antilles,962,Beauty,Lotion,10,510.61,5106.1,East
113,2001-11-24,9991,Tyler Chapman,jasonsmith@yahoo.com,Afghanistan,743,Clothing,Jeans,1,191.07,191.07,East
114,2019-12-24,2884,Lorraine Kim,morgandeborah@hotmail.com,Venezuela,807,Clothing,Jacket,6,480.29,2881.74,North
115,2013-04-25,8859,Tammy Zhang,rodriguezdalton@hotmail.com,Guam,679,Clothing,Jeans,7,380.48,2663.36,East
116,2017-01-25,2672,Annette Phillips,aaron27@yahoo.com,Guadeloupe,639,Electronics,Monitor,7,461.5,3230.5,North
