OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,Country,ProductID,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,SalesRegion
1,2025-05-04,9233,Justin Burgess,vnelson@roberts-murray.com,Israel,836,electronics,Headphones,7,307.44,2152.08,South
2,2024-09-28,9816,Joe Williams,igordon@yahoo.com,Angola,760,Sports,Football,10,833.84,8338.4,West
3,2025-01-08,1008,Nicholas Barnes,taylorrobert@gmail.com,United Arab Emirates,677,sports,treadmill,9,105.01,945.09,North
4,2024-10-08,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
5,2024-10-08,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
6,2024-10-08,9227,Troy Wagner,amartinez@hotmail.com,palau,921,Clothing,Jeans,10,253.59,2535.9,South
7,2023-08-14,1440,Miguel Johnson,taraward@gmail.com,Estonia,956,Electronics,Laptop,2,693.5,1387,north
8,2023-06-23,5333,Deborah Brooks,carolyndodson@castro.net,Hong Kong,546,Electronics,Smartphone,8,994.65,7957.2,North
9,2024-01-07,6466,Jerry Schneider,gcook@gmail.com,United Arab Emirates,812,Clothing,Jacket,5,335.78,1678.9,East
10,2023-09-12,5357,Christopher Hill,jacob63@day.com,Japan,802,Clothing,T-Shirt,4,477.07,1908.28,South
11,2023-12-26,1158,Jessica Morrison,charlesgonzalez@li.org,Guernsey,603,Sports,Tennis Racket,5,21.71,108.55,West
12,2023-11-02,2326,Robert Carroll,cindy25@fernandez-medina.com,Portugal,841,Beauty,Nail Polish,3,803.36,2410.08,South
13,2024-07-07,8277,Kim Weaver,lambertrodney@hotmail.com,Mongolia,526,Clothing,socks,7,992.47,6947.29,North
14,2024-11-12,5174,Larry Mack,barnesjennifer@kennedy-porter.org,Croatia,810,Clothing,T-Shirt,3,46.61,139.83,east
15,2024-09-30,5400,Jessica Weber,mejiaalisha@gmail.com,Guinea,839,Furniture,Couch,1,491.89,491.89,West
16,2024-05-27,2020,Melanie Gonzalez,amber03@hotmail.com,Montserrat,798,Furniture,Bed,4,640.97,2563.88,West
17,2024-10-23,1440,Miguel Johnson,taraward@gmail.com,Estonia,697,Clothing,Shoes,7,278.6,1950.2,East
18,2024-02-12,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
19,2024-02-12,4073,Joshua Howard,ernestpoole@williams.com,Colombia,976,Electronics,Smartphone,7,242.43,1697.01,West
20,2023-11-14,1792,Patrick Brown,janekelley@hotmail.com,French Southern Territories,823,Furniture,Bed,10,799.32,7993.2,North
21,2024-10-28,9035,Nathaniel Long,perrychristy@miller-bryant.com,Macedonia,621,Clothing,T-Shirt,7,866.25,6063.75,East
